title,href
【謠言】不丹沒有癌症？沒有人感染COVID-19？錯誤資訊貼文,https://www.mygopen.com/2020/08/Bhutan-covid-19.html
【假影片】黎巴嫩海港是被衛星導彈襲擊的？影片後製誤導訊息,https://www.mygopen.com/2020/08/Beirut-explosion.html
【錯誤】日本友人傳來的煙火影片？原本要在東京奧運放？謠言,https://www.mygopen.com/2020/08/Firework-japan.html
【謠言】大陸笲族嫁女兒摸新娘乳房的影片？泰國跨性別者表演,https://www.mygopen.com/2020/08/marry-daughter-breast.html
【錯誤】美國疫苗在烏克蘭秘密試驗三萬多人？國際謠言改編,https://www.mygopen.com/2020/08/Pro-Russia-vaccine-misinfo.html
【錯誤】索馬利蘭人士飛抵台北參訪？空服員合照？印尼巴布亞原民服飾,https://www.mygopen.com/2020/08/Somaliland.html
【錯誤】這跳水的人跳進魚嘴的影片？鯊魚災難片電影畫面片段,https://www.mygopen.com/2020/08/deep-blue-sea-3.html
